 ,Full Name,Gender,Age,State,Job Classification,Date Joined,Balance,Marital Status,education,House Loan,Other Loan,contact,Previous Outcome,Loan Default,Customer Code
444,Ellen Weaver,Female,41.0,California,Blue Collar,2017-05-11,28218.21,married,tertiary,yes,no,telephone,unknown,yes,A0444
445,Colleen Warren,Female,43.0,California,White Collar,2017-05-11,67157.78,married,secondary,no,no,cellular,unknown,no,A0445
446,Max Rodgers,Male,37.0,California,White Collar,2017-05-11,99687.81,married,secondary,yes,no,cellular,unknown,no,A0446
447,Tracy Reed,Male,33.0,Nevada,Blue Collar,2017-05-11,113537.55,married,secondary,yes,no,unknown,unknown,no,A0447
448,Colleen Warren,Male,41.0,Nevada,Blue Collar,2017-05-11,32142.72,married,tertiary,no,no,cellular,unknown,no,A0448
449,Cindy Becker,Male,30.0,Oregon,White Collar,2017-05-11,61600.69,married,secondary,no,no,cellular,unknown,no,A0449
450,Elvira Bowman,Male,39.0,Oregon,Blue Collar,2017-05-11,4235.7,married,tertiary,yes,no,cellular,unknown,no,A0450
451,Sonya Mullins,Female,36.0,California,Blue Collar,2017-05-12,15377.51,married,secondary,yes,no,cellular,unknown,yes,A0451
452,Ivan Adkins,Male,40.0,California,White Collar,2017-05-12,23115.16,divorced,secondary,yes,no,cellular,unknown,no,A0452
453,Robert Munoz,Female,23.0,California,White Collar,2017-05-12,25750.72,married,secondary,yes,yes,unknown,unknown,no,A0453
454,Patty Thompson,Male,26.0,California,Other,2017-05-12,33048.93,married,secondary,yes,no,cellular,unknown,no,A0454
455,Shari Silva,Male,35.0,California,Blue Collar,2017-05-12,2625.93,married,tertiary,no,no,cellular,unknown,no,A0455
456,Austin Reynolds,Female,51.0,California,White Collar,2017-05-12,41840.48,married,secondary,yes,no,unknown,unknown,no,A0456
457,Shari Silva,Female,48.0,Nevada,Blue Collar,2017-05-12,27968.28,single,tertiary,no,no,cellular,unknown,yes,A0457
458,Ernest Davis,Male,59.0,Nevada,Blue Collar,2017-05-12,51700.61,single,secondary,no,yes,cellular,unknown,no,A0458
459,Tiffany May,Male,43.0,Nevada,Other,2017-05-12,85895.85,single,secondary,no,no,cellular,unknown,no,A0459
460,Elbert Klein,Female,54.0,Nevada,Other,2017-05-12,27940.07,divorced,tertiary,no,no,cellular,failure,no,A0460
461,Cecilia Manning,Male,52.0,Nevada,White Collar,2017-05-12,44731.67,married,tertiary,no,no,unknown,unknown,no,A0461
462,Shari Silva,Male,52.0,Nevada,Other,2017-05-12,10397.79,married,secondary,yes,no,cellular,unknown,no,A0462
463,Cecilia Manning,Male,46.0,Nevada,Blue Collar,2017-05-12,196787.52,divorced,tertiary,no,no,unknown,unknown,no,A0463
464,Andrew Meyer,Male,57.0,Nevada,Blue Collar,2017-05-12,39702.16,divorced,secondary,yes,no,cellular,unknown,no,A0464
465,Allan Ramos,Female,42.0,Nevada,Other,2017-05-12,72323.1,married,secondary,yes,no,cellular,success,yes,A0465
466,Sylvester Morales,Female,39.0,Wyoming,White Collar,2017-05-12,124267.45,married,secondary,no,no,telephone,failure,no,A0466
467,Salvador Bass,Female,20.0,Wyoming,Other,2017-05-12,1925.4,married,secondary,yes,no,unknown,unknown,no,A0467
468,Dan Peterson,Female,45.0,Wyoming,Other,2017-05-12,95743.48,married,tertiary,yes,no,unknown,unknown,no,A0468
469,Dan Peterson,Male,38.0,Wyoming,Blue Collar,2017-05-12,95925.48,single,secondary,yes,no,cellular,unknown,no,A0469
470,Max Rodgers,Male,27.0,Oregon,White Collar,2017-05-12,22222.79,single,primary,yes,no,unknown,unknown,no,A0470
471,Cecilia Manning,Female,35.0,Oregon,White Collar,2017-05-12,41592.3,married,tertiary,yes,no,cellular,unknown,no,A0471
472,Joey Wong,Female,23.0,Oregon,Other,2017-05-12,87225.67,married,secondary,yes,no,unknown,unknown,no,A0472
473,Blake Bridges,Male,32.0,Oregon,Other,2017-05-12,55005.34,married,secondary,yes,no,cellular,unknown,no,A0473
474,Nellie Joseph,Male,33.0,Oregon,White Collar,2017-05-12,99465.55,married,secondary,no,no,cellular,unknown,yes,A0474
475,Willie Vega,Male,37.0,California,White Collar,2017-05-13,151786.15,married,tertiary,yes,no,unknown,unknown,no,A0475
476,Tiffany May,Female,33.0,California,White Collar,2017-05-13,46062.16,married,primary,yes,no,unknown,unknown,no,A0476
477,Marion Glover,Female,31.0,California,White Collar,2017-05-13,55091.0,married,secondary,yes,no,unknown,unknown,no,A0477
478,Della Jensen,Female,33.0,California,White Collar,2017-05-13,13535.04,married,tertiary,no,no,telephone,success,yes,A0478
479,Charlie Wood,Male,43.0,Nevada,Other,2017-05-13,61976.49,married,secondary,yes,no,unknown,unknown,no,A0479
480,Dan Peterson,Male,45.0,Nevada,Blue Collar,2017-05-13,38313.78,married,secondary,yes,no,unknown,unknown,no,A0480
481,Don Gonzales,Female,48.0,Nevada,Blue Collar,2017-05-13,110762.25,single,unknown,yes,no,unknown,unknown,no,A0481
482,Woodrow Colon,Male,53.0,Nevada,White Collar,2017-05-13,28404.52,single,secondary,yes,no,telephone,unknown,no,A0482
483,Eddie Green,Male,47.0,Nevada,Other,2017-05-13,28312.31,married,secondary,yes,no,cellular,failure,no,A0483
484,Guillermo Potter,Male,39.0,Nevada,Blue Collar,2017-05-13,9808.01,married,tertiary,no,no,cellular,unknown,no,A0484
485,Paulette Spencer,Male,54.0,Nevada,White Collar,2017-05-13,108196.27,married,tertiary,yes,no,cellular,unknown,no,A0485
486,Kyle Carr,Male,53.0,Nevada,Blue Collar,2017-05-13,29314.72,married,primary,yes,no,unknown,unknown,no,A0486
487,Sandra Floyd,Female,19.0,Wyoming,White Collar,2017-05-13,46226.85,divorced,secondary,yes,no,cellular,unknown,no,A0487
488,Ellen Weaver,Female,35.0,Oregon,Other,2017-05-13,57863.73,married,primary,yes,no,unknown,unknown,no,A0488
489,Peter Hodges,Male,41.0,California,White Collar,2017-05-14,120711.87,single,primary,yes,no,unknown,unknown,no,A0489
490,Edwin Malone,Female,58.0,Nevada,Other,2017-05-14,106998.07,married,tertiary,yes,no,cellular,unknown,no,A0490
491,Andrew Meyer,Male,46.0,Nevada,Blue Collar,2017-05-14,21726.31,married,unknown,yes,no,unknown,unknown,no,A0491
492,Lee Mack,Male,50.0,Nevada,Blue Collar,2017-05-14,27079.78,divorced,secondary,yes,no,unknown,unknown,no,A0492
493,Felicia Jennings,Male,49.0,Nevada,Blue Collar,2017-05-14,190868.93,married,secondary,no,no,telephone,success,yes,A0493
494,Cindy Becker,Male,41.0,Wyoming,White Collar,2017-05-14,111028.82,married,secondary,no,no,cellular,unknown,yes,A0494
495,Della Jensen,Male,40.0,Wyoming,White Collar,2017-05-14,12322.64,single,secondary,yes,no,cellular,unknown,yes,A0495
496,Arturo Francis,Female,41.0,Wyoming,Other,2017-05-14,32370.04,divorced,tertiary,yes,no,unknown,unknown,no,A0496
497,Blake Bridges,Female,26.0,Oregon,White Collar,2017-05-14,8639.76,married,secondary,yes,no,cellular,failure,no,A0497
498,Brooke Horton,Female,37.0,California,Blue Collar,2017-05-15,13698.15,single,secondary,yes,yes,cellular,unknown,no,A0498
499,Edwin Malone,Female,42.0,California,Other,2017-05-15,54259.31,single,secondary,no,yes,unknown,unknown,no,A0499
500,Drew Rogers,Female,32.0,California,Other,2017-05-15,66579.19,single,tertiary,yes,no,cellular,unknown,no,A0500
501,Salvador Bass,Female,42.0,California,White Collar,2017-05-15,70686.0,single,tertiary,no,no,cellular,failure,no,A0501
502,Della Jensen,Female,18.0,California,White Collar,2017-05-15,86777.94,married,secondary,yes,yes,telephone,unknown,no,A0502
503,Isabel Cross,Male,51.0,Nevada,Blue Collar,2017-05-15,1372.12,married,tertiary,no,no,cellular,unknown,no,A0503
504,Mable Lindsey,Male,51.0,Nevada,White Collar,2017-05-15,24357.79,single,primary,no,no,cellular,unknown,yes,A0504
505,Lee Mack,Male,42.0,Nevada,Blue Collar,2017-05-15,53463.01,married,tertiary,no,no,cellular,unknown,no,A0505
506,Kyle Carr,Male,53.0,Nevada,Blue Collar,2017-05-15,23444.37,married,secondary,yes,no,unknown,unknown,no,A0506
507,Jaime Pearson,Male,51.0,Nevada,Blue Collar,2017-05-15,128317.45,single,primary,no,yes,cellular,unknown,no,A0507
508,Elaine Ellis,Female,47.0,Nevada,Other,2017-05-15,23041.1,divorced,tertiary,yes,no,unknown,unknown,no,A0508
509,Drew Rogers,Female,31.0,Wyoming,White Collar,2017-05-15,81619.16,single,secondary,yes,no,cellular,unknown,no,A0509
510,Bernadette Page,Male,27.0,Wyoming,White Collar,2017-05-15,54682.42,single,secondary,no,no,cellular,unknown,yes,A0510
511,Della Jensen,Female,51.0,Wyoming,Blue Collar,2017-05-15,61070.28,married,secondary,yes,yes,cellular,failure,no,A0511
512,Ruben Nunez,Female,57.0,Wyoming,White Collar,2017-05-15,68571.93,married,tertiary,yes,no,cellular,unknown,no,A0512
513,Isabel Cross,Female,20.0,Oregon,Other,2017-05-15,6972.78,married,secondary,yes,no,cellular,failure,yes,A0513
514,Shari Silva,Male,35.0,Oregon,Other,2017-05-15,94927.06,divorced,tertiary,yes,no,unknown,unknown,no,A0514
515,Cecilia Manning,Female,26.0,Oregon,White Collar,2017-05-15,139337.75,married,tertiary,yes,no,cellular,unknown,no,A0515
516,Peter Hodges,Female,29.0,Oregon,Other,2017-05-15,34862.63,divorced,primary,no,no,cellular,failure,no,A0516
517,Trevor Jones,Female,37.0,Oregon,Other,2017-05-15,9635.24,married,tertiary,yes,yes,unknown,unknown,no,A0517
518,Max Rodgers,Female,35.0,California,Blue Collar,2017-05-16,95869.97,married,primary,yes,no,cellular,unknown,yes,A0518
519,Cindy Becker,Male,19.0,California,White Collar,2017-05-16,105084.96,married,tertiary,yes,no,cellular,other,no,A0519
520,Lorraine Gibson,Female,42.0,California,White Collar,2017-05-16,43856.85,married,secondary,no,no,cellular,other,no,A0520
521,Cassandra Franklin,Female,23.0,California,Blue Collar,2017-05-16,40482.52,married,secondary,no,no,unknown,unknown,no,A0521
522,Rachel Gomez,Male,41.0,Nevada,White Collar,2017-05-16,49767.34,married,secondary,no,no,telephone,unknown,no,A0522
523,Lynette Brewer,Male,50.0,Nevada,Blue Collar,2017-05-16,137802.49,divorced,secondary,yes,no,cellular,failure,no,A0523
524,Sandra Floyd,Male,31.0,Wyoming,White Collar,2017-05-16,217902.96,married,primary,no,no,cellular,unknown,no,A0524
525,Robert Munoz,Male,23.0,Wyoming,Blue Collar,2017-05-16,84453.48,married,secondary,yes,no,unknown,unknown,no,A0525
526,Don Gonzales,Female,40.0,Wyoming,Other,2017-05-16,86121.49,married,primary,no,no,unknown,unknown,no,A0526
527,Cassandra Franklin,Female,32.0,Wyoming,White Collar,2017-05-16,64705.75,married,secondary,yes,no,unknown,unknown,no,A0527
528,Shari Silva,Female,30.0,Wyoming,Other,2017-05-16,50999.43,divorced,secondary,no,no,cellular,unknown,no,A0528
529,Sandra Floyd,Female,24.0,Wyoming,White Collar,2017-05-16,77539.55,married,primary,yes,no,cellular,failure,no,A0529
530,Cassandra Franklin,Female,36.0,Wyoming,White Collar,2017-05-16,109720.6,married,tertiary,yes,no,telephone,unknown,no,A0530
531,Paulette Spencer,Female,23.0,Wyoming,White Collar,2017-05-16,76281.67,single,secondary,yes,no,cellular,unknown,no,A0531
532,Patty Thompson,Male,53.0,Nevada,Blue Collar,2017-05-17,14225.16,married,primary,yes,no,telephone,unknown,no,A0532
533,Don Gonzales,Female,56.0,Nevada,Other,2017-05-17,30954.87,single,secondary,yes,no,cellular,unknown,no,A0533
534,Max Rodgers,Male,62.0,Nevada,Blue Collar,2017-05-17,9362.6,divorced,secondary,yes,no,unknown,unknown,no,A0534
535,Kyle Carr,Male,46.0,Nevada,Blue Collar,2017-05-17,594.81,married,secondary,no,no,cellular,unknown,no,A0535
536,Jenny Garcia,Male,47.0,Nevada,Blue Collar,2017-05-17,27590.57,married,primary,no,no,cellular,unknown,no,A0536
537,Trevor Jones,Female,50.0,Nevada,Other,2017-05-17,18993.7,married,tertiary,no,no,cellular,unknown,no,A0537
538,Andrew Meyer,Male,44.0,Nevada,Blue Collar,2017-05-17,91096.19,single,secondary,no,no,cellular,unknown,no,A0538
539,Billie Chandler,Female,23.0,Wyoming,Blue Collar,2017-05-17,120524.85,married,tertiary,no,no,cellular,unknown,no,A0539
540,Iris Underwood,Female,31.0,Oregon,Other,2017-05-17,180794.13,married,secondary,yes,yes,unknown,unknown,no,A0540
541,Della Jensen,Female,30.0,Oregon,Blue Collar,2017-05-17,9152.78,single,secondary,no,no,cellular,success,yes,A0541
542,Shari Silva,Female,31.0,California,White Collar,2017-05-18,85876.84,single,unknown,no,no,cellular,unknown,no,A0542
543,Robert Munoz,Female,35.0,California,White Collar,2017-05-18,69285.72,married,secondary,yes,no,cellular,unknown,no,A0543
544,Brooke Horton,Male,29.0,California,White Collar,2017-05-18,109278.97,married,secondary,yes,no,unknown,unknown,no,A0544
545,Sandra Floyd,Female,36.0,California,Blue Collar,2017-05-18,131449.61,married,secondary,no,no,cellular,unknown,no,A0545
546,Edwin Malone,Female,24.0,California,Blue Collar,2017-05-18,16142.3,married,primary,yes,no,cellular,unknown,no,A0546
547,Eddie Green,Female,40.0,California,White Collar,2017-05-18,11826.75,married,secondary,no,no,cellular,unknown,no,A0547
548,Isabel Cross,Female,63.0,Nevada,Other,2017-05-18,14943.34,married,tertiary,no,no,cellular,unknown,no,A0548
549,Lynette Brewer,Male,55.0,Nevada,Other,2017-05-18,53218.3,single,tertiary,no,no,telephone,unknown,no,A0549
550,Drew Rogers,Female,34.0,Wyoming,Blue Collar,2017-05-18,4286.48,single,secondary,yes,no,cellular,unknown,no,A0550
551,Jaime Pearson,Male,35.0,Wyoming,Other,2017-05-18,11505.79,married,primary,no,no,unknown,unknown,no,A0551
552,Cecilia Manning,Female,38.0,Wyoming,White Collar,2017-05-18,59817.3,married,secondary,yes,no,cellular,other,no,A0552
553,Austin Reynolds,Female,33.0,Wyoming,Blue Collar,2017-05-18,80170.58,married,secondary,no,no,cellular,failure,no,A0553
554,Patty Thompson,Female,26.0,Oregon,White Collar,2017-05-18,49163.43,married,tertiary,yes,no,unknown,unknown,no,A0554
555,Rachel Gomez,Female,38.0,Oregon,Other,2017-05-18,21798.73,single,secondary,no,no,unknown,unknown,no,A0555
556,Della Jensen,Female,38.0,Oregon,Other,2017-05-18,42369.72,married,secondary,yes,no,cellular,success,no,A0556
557,Isabel Cross,Female,23.0,Oregon,Other,2017-05-18,31626.94,married,primary,no,no,cellular,unknown,no,A0557
558,Donna Reid,Female,42.0,California,Other,2017-05-19,39665.79,single,tertiary,no,no,cellular,unknown,yes,A0558
559,Ellen Weaver,Female,34.0,California,White Collar,2017-05-19,22948.52,married,secondary,no,yes,cellular,unknown,yes,A0559
560,Rachel Gomez,Male,34.0,California,Other,2017-05-19,69018.39,divorced,secondary,yes,no,cellular,unknown,no,A0560
561,Andrew Meyer,Female,30.0,California,White Collar,2017-05-19,98363.51,married,secondary,yes,no,unknown,unknown,no,A0561
562,Robert Munoz,Male,27.0,California,White Collar,2017-05-19,35076.43,single,secondary,no,no,cellular,unknown,no,A0562
563,Bethany Pena,Female,52.0,California,Blue Collar,2017-05-19,113995.88,married,secondary,yes,no,cellular,unknown,no,A0563
564,Lee Mack,Male,27.0,California,White Collar,2017-05-19,18537.12,married,secondary,yes,no,cellular,failure,no,A0564
565,Herman Williams,Female,31.0,California,Other,2017-05-19,31763.48,married,secondary,yes,no,unknown,unknown,no,A0565
566,Cassandra Franklin,Female,36.0,California,White Collar,2017-05-19,11167.6,married,secondary,yes,yes,cellular,failure,no,A0566
567,Cassandra Franklin,Female,26.0,California,White Collar,2017-05-19,40721.45,single,tertiary,no,no,cellular,unknown,no,A0567
568,Della Jensen,Male,35.0,California,White Collar,2017-05-19,99352.67,divorced,tertiary,yes,no,unknown,unknown,no,A0568
569,Ivan Adkins,Female,39.0,California,White Collar,2017-05-19,109487.87,married,primary,no,no,cellular,unknown,no,A0569
570,Robert Munoz,Female,34.0,California,Other,2017-05-19,53251.22,single,secondary,no,no,cellular,unknown,no,A0570
571,Marion Glover,Male,31.0,California,White Collar,2017-05-19,119020.46,married,unknown,yes,no,unknown,unknown,no,A0571
572,Della Jensen,Male,51.0,California,White Collar,2017-05-19,108569.45,married,secondary,no,no,cellular,unknown,no,A0572
573,Christina Fuller,Male,35.0,California,White Collar,2017-05-19,67425.6,married,tertiary,yes,no,cellular,failure,no,A0573
574,Della Jensen,Male,25.0,California,Other,2017-05-19,12712.64,married,secondary,no,no,cellular,unknown,no,A0574
575,Mable Lindsey,Male,20.0,California,White Collar,2017-05-19,4648.51,divorced,secondary,yes,no,cellular,unknown,no,A0575
576,Drew Rogers,Female,26.0,California,White Collar,2017-05-19,82097.67,married,unknown,no,no,cellular,unknown,no,A0576
577,Salvador Bass,Female,43.0,California,Other,2017-05-19,122757.85,married,secondary,yes,yes,cellular,unknown,no,A0577
578,Elvira Bowman,Male,33.0,California,Blue Collar,2017-05-19,188283.58,married,tertiary,yes,no,cellular,unknown,no,A0578
579,Marion Glover,Male,47.0,Nevada,Other,2017-05-19,66064.07,married,secondary,no,no,cellular,other,no,A0579
580,Lula Daniels,Male,52.0,Nevada,Other,2017-05-19,33486.12,single,tertiary,no,yes,cellular,failure,no,A0580
581,Andrew Meyer,Male,46.0,Nevada,Blue Collar,2017-05-19,21798.36,married,tertiary,yes,yes,cellular,unknown,no,A0581
582,Donna Reid,Female,42.0,Nevada,Blue Collar,2017-05-19,35950.75,single,secondary,no,no,cellular,unknown,yes,A0582
583,Patty Thompson,Female,56.0,Nevada,Other,2017-05-19,68706.13,married,secondary,yes,yes,telephone,unknown,no,A0583
584,Elaine Ellis,Male,44.0,Nevada,Blue Collar,2017-05-19,90244.1,single,tertiary,no,no,cellular,unknown,no,A0584
585,Cindy Becker,Male,58.0,Nevada,Other,2017-05-19,81699.88,married,secondary,yes,no,cellular,unknown,no,A0585
586,Peter Hodges,Male,44.0,Nevada,Blue Collar,2017-05-19,9697.15,divorced,tertiary,yes,no,cellular,unknown,no,A0586
587,Rachel Gomez,Male,51.0,Nevada,Blue Collar,2017-05-19,64963.52,single,secondary,yes,no,cellular,unknown,no,A0587
588,Marion Glover,Male,46.0,Nevada,Blue Collar,2017-05-19,38945.88,married,tertiary,yes,yes,cellular,unknown,no,A0588
589,Isabel Cross,Male,43.0,Nevada,Blue Collar,2017-05-19,96241.94,married,secondary,yes,no,unknown,unknown,no,A0589
590,Tiffany May,Male,53.0,Nevada,Blue Collar,2017-05-19,53579.06,married,secondary,no,yes,cellular,unknown,no,A0590
591,Jenny Garcia,Male,41.0,Nevada,Blue Collar,2017-05-19,78190.18,married,tertiary,no,no,unknown,unknown,no,A0591
592,Edwin Malone,Female,27.0,Wyoming,White Collar,2017-05-19,147075.76,married,secondary,no,yes,cellular,unknown,no,A0592
593,Sandra Floyd,Female,33.0,Wyoming,Other,2017-05-19,49810.19,married,secondary,yes,yes,unknown,unknown,no,A0593
594,Billie Chandler,Female,39.0,Wyoming,White Collar,2017-05-19,60650.96,married,secondary,no,no,cellular,unknown,no,A0594
595,Della Jensen,Male,34.0,Wyoming,Blue Collar,2017-05-19,91672.48,single,tertiary,yes,no,cellular,unknown,no,A0595
596,Sylvester Morales,Female,36.0,Wyoming,White Collar,2017-05-19,85057.91,married,unknown,no,no,cellular,unknown,no,A0596
597,Robert Munoz,Male,36.0,Wyoming,White Collar,2017-05-19,89676.9,married,primary,yes,no,cellular,failure,no,A0597
598,Don Gonzales,Male,39.0,Wyoming,Blue Collar,2017-05-19,76615.27,married,primary,no,no,cellular,unknown,no,A0598
599,Shari Silva,Female,33.0,Wyoming,White Collar,2017-05-19,2670.54,divorced,unknown,yes,no,cellular,failure,no,A0599
600,Max Rodgers,Female,24.0,Oregon,Other,2017-05-19,50164.72,divorced,secondary,yes,no,telephone,unknown,no,A0600
601,Christy Olson,Male,32.0,Oregon,Blue Collar,2017-05-19,46152.93,divorced,tertiary,yes,yes,cellular,unknown,no,A0601
602,Mable Lindsey,Female,24.0,Oregon,White Collar,2017-05-19,94133.43,married,tertiary,yes,yes,telephone,unknown,no,A0602
603,Cecilia Manning,Female,31.0,California,White Collar,2017-05-20,61496.16,married,primary,yes,no,cellular,success,no,A0603
604,Rachel Gomez,Female,31.0,California,White Collar,2017-05-20,32670.87,single,secondary,no,no,cellular,unknown,yes,A0604
605,Cassandra Franklin,Female,45.0,California,White Collar,2017-05-20,111398.46,married,primary,yes,no,cellular,unknown,no,A0605
606,Shari Silva,Female,42.0,California,White Collar,2017-05-20,6345.03,married,secondary,yes,yes,cellular,unknown,no,A0606
607,Patty Thompson,Male,45.0,Nevada,White Collar,2017-05-20,15332.51,married,secondary,yes,no,unknown,unknown,no,A0607
608,Rachel Gomez,Male,44.0,Nevada,Other,2017-05-20,13522.42,divorced,tertiary,no,no,cellular,unknown,no,A0608
609,Elvira Bowman,Male,58.0,Nevada,Other,2017-05-20,128418.75,single,tertiary,no,no,telephone,unknown,no,A0609
610,Jenny Garcia,Male,52.0,Nevada,Blue Collar,2017-05-20,144489.21,married,tertiary,yes,yes,cellular,unknown,no,A0610
611,Cecilia Manning,Female,36.0,Wyoming,Blue Collar,2017-05-20,39973.81,single,secondary,no,no,unknown,unknown,no,A0611
612,Don Gonzales,Female,24.0,Wyoming,White Collar,2017-05-20,24830.96,married,secondary,yes,no,unknown,unknown,no,A0612
613,Robert Munoz,Male,31.0,Wyoming,White Collar,2017-05-20,50757.61,single,tertiary,no,no,cellular,unknown,no,A0613
614,Jenny Garcia,Female,38.0,Wyoming,Blue Collar,2017-05-20,41553.9,married,tertiary,no,no,cellular,unknown,yes,A0614
615,Dan Peterson,Female,42.0,Wyoming,Other,2017-05-20,35849.7,married,tertiary,yes,no,cellular,failure,no,A0615
616,Pauline Beck,Female,40.0,California,White Collar,2017-05-21,33836.03,married,secondary,yes,no,unknown,unknown,no,A0616
617,Pauline Beck,Male,32.0,California,Blue Collar,2017-05-21,6829.04,single,tertiary,yes,yes,cellular,unknown,no,A0617
618,Max Rodgers,Male,42.0,California,White Collar,2017-05-21,24231.52,single,secondary,no,no,cellular,unknown,no,A0618
619,Isabel Cross,Male,49.0,Nevada,Blue Collar,2017-05-21,47975.3,married,tertiary,yes,no,cellular,unknown,no,A0619
620,Della Jensen,Male,51.0,Nevada,Blue Collar,2017-05-21,81108.69,married,tertiary,no,no,cellular,success,yes,A0620
621,Rachel Gomez,Male,51.0,Nevada,Blue Collar,2017-05-21,90830.21,married,primary,yes,no,unknown,unknown,no,A0621
622,Cecilia Manning,Male,49.0,Nevada,White Collar,2017-05-21,101867.63,single,tertiary,yes,no,cellular,unknown,no,A0622
623,Lorraine Gibson,Male,53.0,Nevada,Other,2017-05-21,165204.78,single,secondary,yes,no,cellular,unknown,no,A0623
624,Rachel Gomez,Male,40.0,Wyoming,Blue Collar,2017-05-21,51229.4,single,tertiary,no,no,cellular,failure,no,A0624
625,Isabel Cross,Male,22.0,Oregon,White Collar,2017-05-21,15629.1,married,tertiary,no,no,cellular,unknown,no,A0625
626,Ivan Adkins,Female,36.0,California,White Collar,2017-05-22,41423.33,married,secondary,yes,yes,unknown,unknown,no,A0626
627,Pauline Beck,Male,44.0,California,White Collar,2017-05-22,141001.3,single,tertiary,yes,no,cellular,unknown,no,A0627
628,Isabel Cross,Female,33.0,California,White Collar,2017-05-22,33412.55,married,secondary,yes,yes,cellular,unknown,no,A0628
629,Bethany Pena,Male,48.0,Nevada,Other,2017-05-22,12110.19,married,secondary,no,no,cellular,unknown,no,A0629
630,Christina Fuller,Male,51.0,Nevada,Blue Collar,2017-05-22,188553.37,married,tertiary,no,no,cellular,failure,no,A0630
631,Trevor Jones,Male,57.0,Nevada,Blue Collar,2017-05-22,75304.09,single,tertiary,yes,yes,cellular,unknown,yes,A0631
632,Cindy Becker,Male,64.0,Nevada,Blue Collar,2017-05-22,23744.73,married,tertiary,no,no,cellular,failure,no,A0632
633,Nellie Joseph,Male,42.0,Wyoming,White Collar,2017-05-22,59086.0,married,secondary,yes,no,unknown,unknown,no,A0633
634,Salvador Bass,Female,50.0,Wyoming,White Collar,2017-05-22,86002.69,married,secondary,no,no,cellular,unknown,no,A0634
635,Eric Rose,Female,34.0,Wyoming,White Collar,2017-05-22,72209.49,divorced,tertiary,no,no,unknown,unknown,yes,A0635
636,Shari Silva,Female,30.0,Wyoming,White Collar,2017-05-22,30261.33,divorced,tertiary,no,yes,cellular,unknown,no,A0636
637,Salvador Bass,Female,40.0,Wyoming,White Collar,2017-05-22,27429.88,divorced,primary,yes,no,unknown,unknown,no,A0637
638,Sylvester Morales,Female,46.0,Oregon,Blue Collar,2017-05-22,34188.06,married,secondary,no,no,cellular,unknown,no,A0638
639,Arturo Francis,Male,28.0,Oregon,White Collar,2017-05-22,218759.37,divorced,secondary,no,yes,cellular,unknown,no,A0639
640,Eric Rose,Male,38.0,California,Blue Collar,2017-05-23,71378.57,single,tertiary,yes,no,unknown,unknown,yes,A0640
641,Lance Yates,Female,38.0,California,Other,2017-05-23,45951.25,divorced,unknown,no,no,unknown,unknown,no,A0641
642,Sandra Floyd,Male,29.0,California,Blue Collar,2017-05-23,93477.69,married,unknown,no,no,unknown,unknown,no,A0642
643,Cindy Becker,Female,32.0,California,Other,2017-05-23,118830.61,single,secondary,yes,no,unknown,unknown,no,A0643
644,Ernest Davis,Male,48.0,Nevada,Blue Collar,2017-05-23,14920.63,married,tertiary,yes,no,unknown,unknown,yes,A0644
645,Iris Underwood,Female,47.0,Nevada,Other,2017-05-23,28904.33,single,tertiary,yes,yes,cellular,unknown,no,A0645
646,Paulette Spencer,Male,50.0,Nevada,Blue Collar,2017-05-23,105729.97,married,secondary,no,no,cellular,unknown,yes,A0646
647,Robert Munoz,Male,50.0,Nevada,Other,2017-05-23,72322.67,married,tertiary,no,no,cellular,unknown,no,A0647
648,Della Jensen,Male,52.0,Nevada,Blue Collar,2017-05-23,74014.78,divorced,tertiary,yes,no,telephone,failure,no,A0648
649,Don Gonzales,Male,53.0,Nevada,Blue Collar,2017-05-23,49654.27,married,secondary,yes,no,cellular,unknown,no,A0649
650,Robert Munoz,Female,26.0,Wyoming,Blue Collar,2017-05-23,59617.39,married,primary,yes,yes,cellular,failure,no,A0650
651,Marian Hill,Female,46.0,Wyoming,White Collar,2017-05-23,45155.63,single,tertiary,yes,no,cellular,failure,no,A0651
652,Sonya Mullins,Female,34.0,Wyoming,White Collar,2017-05-23,42196.21,single,tertiary,no,no,cellular,failure,no,A0652
653,Carla Mccormick,Male,35.0,Oregon,White Collar,2017-05-23,17369.25,divorced,tertiary,yes,no,unknown,unknown,no,A0653
654,Bernadette Page,Male,25.0,Oregon,Other,2017-05-23,526.94,married,secondary,no,yes,cellular,unknown,no,A0654
655,Felicia Jennings,Male,30.0,California,White Collar,2017-05-24,27088.27,married,secondary,no,no,cellular,unknown,no,A0655
656,Max Rodgers,Male,32.0,California,Other,2017-05-24,78477.18,married,primary,yes,no,unknown,unknown,no,A0656
657,Felicia Jennings,Female,48.0,California,White Collar,2017-05-24,39540.7,divorced,primary,yes,no,cellular,unknown,no,A0657
658,Elvira Bowman,Male,45.0,Nevada,Other,2017-05-24,25109.87,married,primary,no,no,cellular,success,no,A0658
659,Cecilia Manning,Male,52.0,Nevada,Blue Collar,2017-05-24,25147.76,married,secondary,no,no,cellular,success,no,A0659
660,Christina Fuller,Male,53.0,Nevada,Blue Collar,2017-05-24,98998.22,married,tertiary,yes,no,cellular,unknown,no,A0660
661,Eddie Green,Male,51.0,Nevada,Blue Collar,2017-05-24,38597.48,divorced,secondary,yes,yes,cellular,other,no,A0661
